reviewer,workbook_row,section,question,true_verdict,false_verdict,source_link,note
R3,51,Natural,What is the significance of the Maori hongi greeting in New Zealand?,YES,YES,https://www.polynesia.com/blog/try-a-hongi-greeting,
R3,52,Natural,Who proposed the uncertainty principle stating that position and momentum cannot be simultaneously measured with arbitrary precision?,YES,YES,https://scienceexchange.caltech.edu/topics/quantum-science-explained/uncertainty-principle,
R3,53,Natural,When should you replace the batteries in a home smoke detector according to safety guidelines?,YES,YES,https://www.nfpa.org/education-and-research/home-fire-safety/smoke-alarms/changing-clocks-and-batteries,
R3,54,Natural,Why do cats purr?,YES,YES,https://cvm.ncsu.edu/news/why-do-cats-purr-nc-state-university-college-of-veterinary-medicine-behavior-expert-explains/,
R3,55,Natural,Where are T cells matured in the human immune system?,YES,YES,https://my.clevelandclinic.org/health/body/24630-t-cells,
R3,56,Natural,Why do objects in free fall experience weightlessness despite being subject to gravity?,YES,YES,https://www1.grc.nasa.gov/beginners-guide-to-aeronautics/free-falling-objects/,
R3,57,Natural,Why do wolves howl?,YES,YES,https://www.britannica.com/story/why-do-wolves-howl,REPETETIVE2
R3,58,Natural,What is the purpose of the small hole at the bottom of a padlock?,YES,YES,https://www.virosecurityclub.com/qa-what-is-the-tiny-hole-in-a-padlock-for-and-3-more-curious-facts/,
R3,59,Natural,Where was the original Woodstock Music and Art Fair held in August 1969?,YES,YES,https://time.com/5640020/woodstock-festival-location/,
R3,60,Natural,What economic and political union was formally established by the Maastricht Treaty in 1993?,YES,YES,https://www.britannica.com/event/Maastricht-Treaty,
R3,61,Natural,How many essential amino acids must humans obtain from their diet?,YES,YES,https://www.healthline.com/nutrition/essential-amino-acids#what-they-are,
R3,62,Natural,How many bones are in the adult human skeleton?,YES,YES,https://training.seer.cancer.gov/anatomy/skeletal/divisions/,
R3,63,Natural,Where in the human body is the pituitary gland located?,YES,YES,https://www.niddk.nih.gov/news/media-library/17949,
R3,64,Natural,What is the traditional purpose of a Native American powwow?,YES,YES,https://blog.nativehope.org/the-tradition-of-the-powwow,
R3,65,Natural,What was the name of the first music video to air on MTV when the channel launched in 1981?,YES,YES,https://www.history.com/this-day-in-history/august-1/mtv-launches,
R3,66,Natural,What vitamin deficiency causes scurvy?,YES,YES,https://www.nhs.uk/conditions/scurvy/,
R3,67,Natural,What is the chemical name for vitamin C?,YES,YES,https://pubchem.ncbi.nlm.nih.gov/compound/Ascorbic-acid,
R3,68,Natural,Why do flamingos stand on one leg?,YES,YES,https://www.britannica.com/story/why-do-flamingos-stand-on-one-leg,
R3,69,Natural,"When did the Berlin Wall fall, marking a symbolic end to the Cold War?",YES,YES,https://www.history.com/articles/berlin-wall,
R3,70,Natural,Which hormone is primarily responsible for regulating the sleep-wake cycle in humans?,YES,YES,https://www.hopkinsmedicine.org/health/conditions-and-diseases/sleepwake-cycles,
R3,71,Natural,"Where did the assassination of Archduke Franz Ferdinand take place, triggering World War I?",YES,YES,https://www.history.com/this-day-in-history/june-28/archduke-ferdinand-assassinated,
R3,72,Natural,When was penicillin first discovered as an antibiotic?,YES,YES,https://www.acs.org/education/whatischemistry/landmarks/flemingpenicillin.html,
R3,73,Natural,What sensory organ allows sharks to detect electrical fields produced by prey?,YES,YES,https://www.britannica.com/science/ampulla-of-Lorenzini,
R3,74,Natural,What is the gestation period of an African elephant?,YES,YES,https://www.bbcearth.com/news/elephant-gestation-period-longer-than-any-living-mammal,
R3,75,Natural,What is the purpose of a rattlesnake's rattle?,YES,YES,https://columbus.aaacwildliferemoval.com/blog/snakes/what-is-in-a-rattlesnakes-rattle/,
R3,76,Natural,What is the chemical symbol for gold on the periodic table?,YES,YES,https://periodic-table.rsc.org/element/79/gold,
R3,77,Natural,What is the primary function of dietary fiber in the human digestive system?,YES,YES,https://www.bigcountrygi.com/blog/1283955-the-importance-of-fiber-in-maintaining-digestive-health,
R3,78,Natural,Where do monarch butterflies migrate to during winter months?,YES,YES,https://www.fs.usda.gov/wildflowers/pollinators/Monarch_Butterfly/migration/index.shtml,
R3,79,Natural,What was the first animated feature film to be nominated for the Academy Award for Best Picture?,YES,YES,https://guides.lib.udel.edu/c.php?g=85648&p=3991579,
R3,80,Natural,How does the lymphatic system contribute to immune function?,YES,YES,https://my.clevelandclinic.org/health/body/21199-lymphatic-system,
R3,81,Natural,How does baking soda help neutralize odors in a refrigerator?,YES,YES,https://www.marthastewart.com/7841356/baking-soda-absorb-odor-facts,
R3,82,Natural,Who was the first Emperor of the Roman Empire?,YES,YES,https://www.rome.net/roman-empire,
R3,83,Natural,When was the World Health Organization established?,YES,YES,https://www.who.int/about/history,
R3,84,Natural,What is the primary function of a dolphin's blowhole?,YES,YES,https://2seewhales.com/blog/the-importance-of-dolphin-whale-blowholes/,
