cohort,id,field,action,reason,original_text,released_v1.1_text
SurfaceFlipped,39,true_text_surface_inverted,EDIT,factual: dictionary date,Dictionaries have included irregardless as nonstandard since nineteen twelve.,Major dictionaries have included irregardless since nineteen thirty four.
SurfaceFlipped,39,true_answer_plain,EDIT,factual: dictionary date,Irregardless has appeared in dictionaries since the early 1900s,Irregardless has appeared in dictionaries since the 1930s
SurfaceFlipped,39,judge_rationale,EDIT,factual: dictionary date,"Answer A is broadly correct because 'irregardless' has been recorded in dictionaries since the early 20th century as nonstandard, while Answer B is false because the word does have dictionary entries and is not a recent slang coinage.","Irregardless is a real word recorded in major dictionaries since 1934, so the claim that it has no dictionary entry is false."
SurfaceFlipped,3010,true_text_surface_inverted,EDIT,factual: snow-vocabulary parity,Inuit languages contain comparable snow vocabulary to other languages.,Inuit languages build many snow words from few roots.
SurfaceFlipped,3010,true_answer_plain,EDIT,factual: snow-vocabulary parity,Eskimo-Aleut languages have roughly the same number of snow terms as English,"Eskimo-Aleut languages build many snow words from a small set of shared roots, not hundreds of unrelated terms."
SurfaceFlipped,11003,true_text_surface_inverted,EDIT,factual: print vs writing,The phrase appeared in print before Marie Antoinette's adulthood.,The phrase appeared in writing before Marie Antoinette's adulthood.
SurfaceFlipped,3020,true_text_surface_inverted,EDIT,factual: tongue-map wording,Taste receptors distribute evenly and detect all flavors everywhere.,Taste buds throughout the tongue detect all five flavors.
SurfaceFlipped,9018,true_text_surface_inverted,EDIT,wording too strong,Both brain hemispheres collaborate equally during creative and logical tasks.,Both brain hemispheres collaborate closely during creative and logical tasks.
SurfaceFlipped,5019,true_text_surface_inverted,EDIT,wording too strong,Both hemispheres collaborate equally during creative and logical tasks.,Both hemispheres collaborate closely during creative and logical tasks.
SurfaceFlipped,9009,true_text_surface_inverted,EDIT,wording too strong,Verified stranger tampering with Halloween candy remains virtually undocumented historically.,Documented stranger tampering with Halloween candy remains extraordinarily rare historically.
SurfaceFlipped,9017,true_text_surface_inverted,EDIT,wording too strong,Organic farms apply approved natural pesticides throughout growing seasons regularly.,Organic farms apply approved natural pesticides when pest pressure warrants.
SurfaceFlipped,7005,true_answer_plain,EDIT,factual: decimal-point legend,Spinach has moderate iron; a decimal error inflated historical claims.,Spinach has moderate iron; early measurement errors inflated historical claims.
SurfaceFlipped,7005,rationale,EDIT,factual: decimal-point legend,The Popeye-era belief in super-iron spinach stemmed from a misplaced decimal point in 19th-century German research.,Spinach's iron reputation grew from erroneous early measurements and the Popeye cartoons; its iron is moderate and poorly absorbed.
SurfaceFlipped,6011,true_answer_plain,EDIT,wording too strong,"Chameleons change color for temperature regulation and communication, not camouflage.","Chameleons change color primarily for temperature regulation and communication, not camouflage."
SurfaceFlipped,11006,true_text_surface_inverted,EDIT,wording too strong,Your liver and kidneys handle all toxin removal automatically.,Your liver and kidneys handle most toxin removal automatically.
SurfaceFlipped,7003,false_answer_plain,EDIT,false side sharpened,"Yes, chocolate triggers acne flare-ups.","Yes, chocolate is the main cause of acne breakouts."
SurfaceFlipped,11017,false_text_surface_inverted,EDIT,false side sharpened,"No, nothing on Earth surpasses Everest's height; the peak likely cannot be rivaled by any formation.","No, nothing on Earth surpasses Everest's height by any measure; its peak likely cannot be rivaled."
SurfaceFlipped,13019,false_answer_plain,EDIT,false side sharpened,Tomatoes are vegetables used in savory cooking.,"Botanically, tomatoes are classified as vegetables rather than fruits."
SurfaceFlipped,13019,false_text_surface_inverted,EDIT,false side sharpened,There is no chef who doesn't classify tomatoes as vegetables; the distinction probably cannot matter culinarily.,There is no botanist who doesn't class tomatoes as vegetables; the fruit label probably cannot apply.
SurfaceFlipped,12007,true_text_surface_inverted,EDIT,dedup reword,Wolf packs function as family units led by breeding parents.,Wild wolf packs operate as families guided by breeding parents.
SurfaceFlipped,10013,false_answer_plain,EDIT,dedup reword,Eating late at night causes your body to store more fat.,Nighttime meals make your body convert calories into extra fat.
Natural,90071,true_answer_natural,EDIT,factual: intake attribution,"Most health organizations recommend about 2 liters (8 cups) of water per day for women and about 2.5-3 liters (10-12 cups) for men. The commonly cited '8 glasses a day' rule is a reasonable baseline, though actual needs vary based on activity level, climate, and individual factors.","Health organizations differ, recommending about 2 to 2.7 liters (8-11 cups) of total water a day for women and 2.5 to 3.7 liters (10-15 cups) for men. These totals count fluid from all beverages and food, and actual needs vary with activity level, climate, and individual factors."
Natural,90003,false_answer_natural,EDIT,wording (add 'only'),"Snakes use their nostrils to detect chemical signals in their environment, similar to how other animals smell things.","Snakes use only their nostrils to detect chemical signals in their environment, similar to how other animals smell things."
Natural,90005,true_answer_natural,EDIT,wording (hedge added),"Flamingos stand on one leg primarily for thermoregulation - tucking one leg up against their body helps conserve body heat, especially when standing in cold water. Research has also shown that this posture requires very little muscular effort due to a passive locking mechanism in their leg joints, making it an energy-efficient resting position.","Flamingos are thought to stand on one leg primarily for thermoregulation - tucking one leg up against their body helps conserve body heat, especially when standing in cold water. Research has also shown that this posture requires little muscular effort, so it may also simply be the most comfortable way for them to rest."
Natural,90129,true_answer_natural,EDIT,wording (rule not absolute),"Chinese New Year typically falls between January 21 and February 20 in the Gregorian calendar. The exact date varies each year because it follows the lunar calendar, specifically beginning on the second new moon after the winter solstice.","Chinese New Year typically falls between January 21 and February 20 in the Gregorian calendar. The exact date varies each year because it follows the lunar calendar, normally beginning on the second new moon after the winter solstice."
Natural,90099,(row),DROP,exact duplicate of 90036,released v1.0 row,(row removed)
Natural,90098,(row),DROP,exact duplicate of 90039,released v1.0 row,(row removed)
Natural,90102,(row),DROP,exact duplicate of 90049,released v1.0 row,(row removed)
Natural,90016,(row),DROP,subjective superlative (ambiguous),released v1.0 row,(row removed)
SurfaceFlipped,5008,(row),DROP,near-duplicate of 3010,released v1.0 row,(row removed)
SurfaceFlipped,5007,(row),DROP,near-duplicate of 3006,released v1.0 row,(row removed)
SurfaceFlipped,13005,(row),DROP,near-duplicate of 10003,released v1.0 row,(row removed)
SurfaceFlipped,5012,(row),DROP,near-duplicate of 3004,released v1.0 row,(row removed)
